french,fertility,prob
réfléchie,5,0.0033357153272447833
réfléchie,1,0.046467348259689484
détournements,4,0.06036248689627309
détournements,2,0.40081831833719844
détournements,3,0.488101586454999
détournements,5,0.0017821425216120045
détournements,1,0.04893546578991753
ghettoïsation,0,0.09241921162076176
ghettoïsation,2,0.09209030963002014
ghettoïsation,3,0.002341733848674678
ghettoïsation,1,0.8131487449005433
dexprimer,0,0.0847204519261568
dexprimer,4,0.02817332719035657
dexprimer,2,0.23169701680168525
dexprimer,3,0.27762188006591737
dexprimer,5,0.0006841495755542986
dexprimer,1,0.37710317444032976
mécoute,0,0.11544208522509129
mécoute,2,0.1920272534135019
mécoute,3,0.012658715035877467
mécoute,1,0.6798719463255293
condamner,0,0.49306618033615807
condamner,2,0.07615176697756988
condamner,3,0.004060289765713628
condamner,1,0.4267217629205584
déclaration,0,0.22885295213669501
déclaration,2,0.09487816205759007
déclaration,3,0.003367834758289155
déclaration,1,0.6729010510474257
göteborg,0,0.16311585498086967
göteborg,2,0.11451256325733401
göteborg,3,0.004504576324530315
göteborg,1,0.717867005437266
appliqué,0,0.5758249121140223
appliqué,4,0.02466176361752968
appliqué,2,0.09115377508539534
appliqué,3,0.21468310770506077
appliqué,5,0.0006270309005082788
appliqué,1,0.09304941057748353
dexplication,7,0.0007516744117100808
dexplication,4,0.21850777882144395
dexplication,0,0.422151126325332
dexplication,2,0.0031738323958995407
dexplication,3,0.03703069777511827
dexplication,5,0.21585956314518476
dexplication,6,0.027850285846529127
dexplication,1,0.07467504127878231
électoral,0,0.23524963614405944
électoral,2,0.14172498097903022
électoral,3,0.008376420748265887
électoral,1,0.6146489621286445
écrasantes,0,0.11134170637337551
écrasantes,2,0.0990518604007093
écrasantes,3,0.0028960420856269063
écrasantes,1,0.7867103911402882
futures,0,0.17937110651031557
futures,4,0.03828100152223382
futures,2,0.27371901741851323
futures,3,0.09860144468467567
futures,5,0.0043523545487171396
futures,6,0.00010825295137147207
futures,1,0.4055668223641731
exhorter,4,0.5557685896313869
exhorter,2,0.03619553183728577
exhorter,3,0.35237400797418283
exhorter,5,0.05446774842629567
exhorter,6,0.001194122130849003
exponentiel,0,0.0034453232087735155
exponentiel,4,0.0019988618965535573
exponentiel,2,0.7538928455028076
exponentiel,3,0.0828603318477075
exponentiel,1,0.1578026375441579
regrettable,0,0.48415784981887017
regrettable,4,0.0006368137632396408
regrettable,2,0.132112980904313
regrettable,3,0.01691283689836622
regrettable,1,0.366179518615211
a,0,0.5255931854733719
a,4,0.0015765102854385672
a,2,0.0872022023001321
a,3,0.011458035331499793
a,5,0.0001154099388591662
a,6,2.4928709912890426e-6
a,1,0.37405216379970707
leurope,0,0.2060947358023157
leurope,4,5.236711503846238e-5
leurope,2,0.10236587464553072
leurope,3,0.004714741984519453
leurope,1,0.6867722804525956
difficile,0,0.3223370612445897
difficile,2,0.08562816606907186
difficile,3,0.0031612043765287543
difficile,1,0.5888735683098096
voisin,0,0.005990683476075247
voisin,4,0.0018161859478465236
voisin,2,0.7201544028339721
voisin,3,0.07563640568074495
voisin,1,0.1964023220613612
myller,0,0.44825349369959805
myller,4,0.0023228576184209098
myller,2,0.31966697020200047
myller,3,0.055250112256967444
myller,1,0.1745065662230131
confrontées,0,0.8964442848787573
confrontées,2,0.0026510474831774613
confrontées,1,0.10090466763806527
colonialisme,0,0.009218988144735894
colonialisme,4,0.0018161814971165307
colonialisme,2,0.681540275447059
colonialisme,3,0.07247506739383688
colonialisme,1,0.23494948751725184
accusons,0,0.017283256260105417
accusons,4,0.0025413519184402907
accusons,2,0.606352846237588
accusons,3,0.08050933423818667
accusons,1,0.2933132113456796
alliez,0,0.8873049530441098
alliez,2,0.0032056293918820665
alliez,1,0.10948941756400815
eur,0,0.18314371172892396
eur,2,0.11527956481127695
eur,3,0.004642017441563805
eur,1,0.6969347060182353
bureaucratiser,0,0.002370190613245492
bureaucratiser,4,0.0031607585942140413
bureaucratiser,2,0.7510963599896179
bureaucratiser,3,0.10945747397879538
bureaucratiser,1,0.13391521682412724
apports,0,0.006324226948176461
apports,4,0.0027083361549303827
apports,2,0.7004218997222647
apports,3,0.09102333587135941
apports,1,0.1995222013032691
navire,0,0.12422108588321966
navire,2,0.10748945656371907
navire,3,0.0036506792110846697
navire,1,0.7646387783419767
illimitées,0,0.11403465288846139
illimitées,2,0.11848020404650136
illimitées,3,0.004377308173027109
illimitées,1,0.7631078348920101
consister,0,0.01158344527136384
consister,4,0.002237133279921981
consister,2,0.638003801479
consister,3,0.07553576826325559
consister,1,0.27263985170645866
deux,0,0.1889098019453666
deux,4,0.00013732359805094697
deux,2,0.11987207344434224
deux,3,0.006977316601345859
deux,1,0.6841034844108943
subissons,0,0.44703124153783724
subissons,4,0.042347140762462716
subissons,2,0.1299786859932937
subissons,3,0.32047525947501004
subissons,5,0.001195629201122579
subissons,1,0.058972043030273695
mot,0,0.34227981989826795
mot,2,0.08468253447778872
mot,3,0.0032499166316939106
mot,1,0.5697877289922494
avais,0,0.1775674425143577
avais,2,0.10893005846494719
avais,3,0.004117437186951531
avais,1,0.7093850618337435
déduction,0,0.14586348007699532
déduction,2,0.09783748265735266
